id,name,latitude,longitude
1,Chalet,49.3792383,-123.0833377
2,Upper Terminal,49.379706,-123.0834194
3,Rentals Outpost,49.3792129,-123.0815632
4,Rentals Presets,49.3794005,-123.0810403
5,Peak Office,49.3812328,-123.078647
6,Skate Pond Hut,49.379526,-123.0825697
7,Santa's Workshop,49.3797471,-123.0823829
8,Slide Zone Hut,49.3798512,-123.0828811
9,Snow School,49.3795321,-123.0815523
10,Feast House,49.3816189,-123.0818482
11,Skiwee,49.3820677,-123.0788311
12,Bear Yurt,49.382431,-123.0785862
13,Bear Den,49.3830245,-123.078886
14,Patrol Cabin,49.3820252,-123.0777989
15,Tyee Cabin,49.3818728,-123.0776374
16,Blue Barn,49.3807043,-123.0795243
17,Wildlife,49.3801265,-123.0786813
18,VAS Yurt,49.3790147,-123.0813918
19,Helicopter Tours,49.3790637,-123.0821972
20,Park Hut,49.3783668,-123.0783715
21,Tyee Bottom O,49.3807277,-123.0697019
22,Lumberjack Hut,49.3813217,-123.0798455
23,Beavertails Hut,49.3810082,-123.0791583